Organisation Name,Town/City,County,Type & Rating,Route,City
@ Home Accommodation Services Ltd,London,,Worker (A rating),Skilled Worker,London / nan
@ Home Accommodation Services Ltd,London,,Temporary Worker (A rating),Creative Worker,London / nan
\Houseline Limited,London,,Worker (A rating),Skilled Worker,London / nan
01 ACCOUNTING SERVICES LTD,London,,Worker (A rating),Skilled Worker,London / nan
012 Global Ltd,London,,Worker (A rating),Skilled Worker,London / nan
0xA Technologies Ltd,London,,Worker (A rating),Skilled Worker,London / nan
10 GROUP LTD  T/A THE 10 GROUP,London,,Worker (A rating),Skilled Worker,London / nan
100 SHAPES LTD,London,,Worker (A rating),Skilled Worker,London / nan
1000heads Ltd,London,,Worker (A rating),Skilled Worker,London / nan
100Starlings Ltd,London,,Worker (A rating),Skilled Worker,London / nan
101 Ways Limited,London,,Worker (A rating),Skilled Worker,London / nan
10BE5 LTD.,London,,Worker (A rating),Skilled Worker,London / nan
10X Future Technologies Services Ltd,London,,Worker (A rating),Skilled Worker,London / nan
11 BERKELEY STREET LIMITED,London,,Worker (A rating),Skilled Worker,London / nan
11:FS GROUP LIMITED,London,,Worker (A rating),Skilled Worker,London / nan
114 GPS Ltd  T/A Sushi Atelier,London,,Worker (A rating),Skilled Worker,London / nan
11K Consulting Ltd,London,,Worker (A rating),Skilled Worker,London / nan
13th Street Hospitality Ltd t/a Sunday in Brooklyn,London,,Worker (A rating),Skilled Worker,London / nan
14 PROMOTIONS (TRADE) LIMITED,London,,Worker (A rating),Skilled Worker,London / nan
1508 London Limited,London,,Worker (A rating),Skilled Worker,London / nan
152 Harley Street Limited,London,London,Worker (A rating),Skilled Worker,London / London
16HarleyCo Limited,London,,Worker (A rating),Skilled Worker,London / nan
17 Capital Services Ltd,London,,Worker (A rating),Skilled Worker,London / nan
1783 Limited,London,,Worker (A rating),Skilled Worker,London / nan
18 Feet & Rising Limited,London,,Worker (A rating),Skilled Worker,London / nan
1854 Media Limited,London,,Worker (A rating),Skilled Worker,London / nan
18A Charing Cross Dental Surgery,London,,Worker (A rating),Skilled Worker,London / nan
18APR Limited,London,,Temporary Worker (A rating),Creative Worker,London / nan
19RM Ltd,London,,Worker (A rating),Skilled Worker,London / nan
1E Limited,Ealing,London,Worker (A rating),Skilled Worker,Ealing / London
1E Limited,Ealing,London,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,Ealing / London
1OAK CAPITAL LIMITED,London,,Worker (A rating),Skilled Worker,London / nan
1PS Group Limited,London,,Worker (A rating),Skilled Worker,London / nan
1st Choice 24/7 Recruitment Ltd,East Ham,London,Worker (A rating),Skilled Worker,East Ham / London
1st Class Protection Ltd,London,,Worker (A rating),Skilled Worker,London / nan
201 ASIAN KITCHEN,London,,Worker (A rating),Skilled Worker,London / nan
2020 Delivery Ltd t/a The PSC,London,,Worker (A rating),Skilled Worker,London / nan
21st Architecture Ltd,London,,Worker (A rating),Skilled Worker,London / nan
21st Club Limited,London,,Worker (A rating),Skilled Worker,London / nan
24 Live UK Ltd,London,,Worker (A rating),Skilled Worker,London / nan
24 Seven UK Limited,London,,Worker (A rating),Skilled Worker,London / nan
24Haymarket Limited,London,,Worker (A rating),Skilled Worker,London / nan
29 Forward Ltd,London,,Worker (A rating),Skilled Worker,London / nan
2CV Ltd,London,,Worker (A rating),Skilled Worker,London / nan
2E Accountants Ltd,London,London,Worker (A rating),Skilled Worker,London / London
2MZ Ltd,London,,Worker (A rating),Skilled Worker,London / nan
2R Capital Investment Management Limited,London,,Worker (A rating),Skilled Worker,London / nan
2S Limited,London,,Worker (A rating),Skilled Worker,London / nan
3 Henrietta Street Limited,London,,Worker (A rating),Skilled Worker,London / nan
3 Wise Bears Ltd,London,,Worker (A rating),Skilled Worker,London / nan
33Seconds Ltd,London,,Worker (A rating),Skilled Worker,London / nan
36 South Capital Advisors LLP,London,,Worker (A rating),Skilled Worker,London / nan
360 health ltd,London,London,Worker (A rating),Skilled Worker,London / London
360 Leaders Ltd,London,,Worker (A rating),Skilled Worker,London / nan
38 Degrees,London,,Worker (A rating),Skilled Worker,London / nan
38 Entertainment Group Ltd,London,,Worker (A rating),Skilled Worker,London / nan
3B DIGITAL LTD,London,,Worker (A rating),Skilled Worker,London / nan
3CS Holdings PLC,London,,Worker (A rating),Skilled Worker,London / nan
3D Industries Ltd,London,,Worker (A rating),Skilled Worker,London / nan
3d Innovations Ltd.,London,,Worker (A rating),Skilled Worker,London / nan
3-D Matrix UK Limited,London,,Worker (A rating),Skilled Worker,London / nan
3-D Matrix UK Limited,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,London / nan
3D Repo Limited,London,,Worker (A rating),Skilled Worker,London / nan
3DC Ltd,London,,Worker (A rating),Skilled Worker,London / nan
3H Partners Limited,London,London,Worker (A rating),Skilled Worker,London / London
3i plc,London,,Worker (A rating),Skilled Worker,London / nan
3i plc,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,London / nan
3i plc,London,,Worker (A rating),Global Business Mobility: Graduate Trainee,London / nan
3KOBROS LIMITED,London,,Worker (A rating),Skilled Worker,London / nan
3RDi Limited,London,,Worker (A rating),Skilled Worker,London / nan
3S Money Club Limited,London,,Worker (A rating),Skilled Worker,London / nan
3Search Limited,London,,Worker (A rating),Skilled Worker,London / nan
45R-LD LIMITED,London,,Worker (A rating),Global Business Mobility: Senior or Specialist Worker,London / nan
4BIO Ventures Management Limited,London,,Worker (A rating),Skilled Worker,London / nan
4C Associates Ltd,London,,Worker (A rating),Skilled Worker,London / nan
4C Hotels Victoria LLP,London,,Worker (A rating),Skilled Worker,London / nan
4M LONDON LIMITED,London,,Worker (A rating),Skilled Worker,London / nan
